,ASX200_i,open,close,low,high,HL/2,HLC/3,HLCC/4,OHLC/4,volume,time
1262,ASX200_i,7191.9,7221.9,7187.8,7245.8,7216.8,7218.5,7219.35,7211.85,3719,2021-10-05 04:00:00
1263,ASX200_i,7221.9,7243.9,7217.9,7244.9,7231.4,7235.566666666666,7237.65,7232.15,4295,2021-10-05 08:00:00
1264,ASX200_i,7243.9,7250.1,7240.8,7258.9,7249.85,7249.933333333334,7249.975,7248.425000000001,1778,2021-10-05 12:00:00
1265,ASX200_i,7250.1,7272.1,7234.0,7281.1,7257.55,7262.400000000001,7264.825000000001,7259.325000000001,4279,2021-10-05 16:00:00
1266,ASX200_i,7272.1,7269.8,7266.8,7286.1,7276.450000000001,7274.233333333334,7273.125,7273.700000000001,1483,2021-10-05 20:00:00
1267,ASX200_i,7276.1,7247.8,7232.8,7280.8,7256.8,7253.8,7252.3,7259.375,2540,2021-10-06 00:00:00
1268,ASX200_i,7246.9,7186.8,7168.8,7246.9,7207.85,7200.833333333333,7197.325,7212.35,4053,2021-10-06 04:00:00
1269,ASX200_i,7185.9,7152.9,7144.8,7198.9,7171.85,7165.533333333333,7162.375,7170.625,4733,2021-10-06 08:00:00
1270,ASX200_i,7151.9,7152.0,7125.8,7161.1,7143.450000000001,7146.3,7147.725,7147.700000000001,3309,2021-10-06 12:00:00
1271,ASX200_i,7152.1,7169.1,7145.0,7184.1,7164.55,7166.066666666667,7166.825000000001,7162.575000000001,5746,2021-10-06 16:00:00
1272,ASX200_i,7169.1,7224.8,7160.1,7228.1,7194.1,7204.333333333333,7209.45,7195.525,2327,2021-10-06 20:00:00
1273,ASX200_i,7225.0,7248.8,7210.7,7251.8,7231.25,7237.099999999999,7240.025,7234.075,2695,2021-10-07 00:00:00
1274,ASX200_i,7248.8,7247.1,7226.7,7255.8,7241.25,7243.2,7244.174999999999,7244.599999999999,2371,2021-10-07 04:00:00
1275,ASX200_i,7246.1,7242.0,7227.1,7270.3,7248.700000000001,7246.466666666667,7245.35,7246.375,3667,2021-10-07 08:00:00
1276,ASX200_i,7242.0,7265.2,7241.0,7269.2,7255.1,7258.466666666667,7260.150000000001,7254.35,1251,2021-10-07 12:00:00
1277,ASX200_i,7265.2,7301.2,7260.2,7301.2,7280.7,7287.533333333333,7290.95,7281.95,2216,2021-10-07 16:00:00
1278,ASX200_i,7301.2,7280.0,7280.0,7301.2,7290.6,7287.066666666667,7285.3,7290.6,1081,2021-10-07 20:00:00
1279,ASX200_i,7283.3,7292.0,7251.0,7309.1,7280.05,7284.033333333333,7286.025,7283.849999999999,2926,2021-10-08 00:00:00
1280,ASX200_i,7292.0,7295.0,7292.0,7310.0,7301.0,7299.0,7298.0,7297.25,3142,2021-10-08 04:00:00
1281,ASX200_i,7295.0,7287.0,7284.3,7310.0,7297.15,7293.766666666666,7292.075,7294.075,3619,2021-10-08 08:00:00
1282,ASX200_i,7288.0,7299.2,7278.0,7304.2,7291.1,7293.8,7295.150000000001,7292.35,1480,2021-10-08 12:00:00
1283,ASX200_i,7298.2,7299.2,7294.2,7318.2,7306.2,7303.866666666666,7302.7,7302.45,2775,2021-10-08 16:00:00
1284,ASX200_i,7299.2,7291.0,7286.0,7305.2,7295.6,7294.066666666667,7293.3,7295.35,808,2021-10-08 20:00:00
1285,ASX200_i,7284.3,7260.0,7232.0,7285.3,7258.65,7259.099999999999,7259.325,7265.4,3282,2021-10-11 00:00:00
